"AOU","Genus","Species","CBC_dist","CBC_dist_error","Migration","Mig_distance","Flocks","Male_mass_g","Trend","Relative.Abundance","CBC_species","CBC_Tree_species","Habitat_specialism_score","Diet_specialism_score","Diet.5Cat","GenFLS","Order","SE"
7050,"Toxostoma","rufum",4026.74982294909,912.190748820978,"Partial","long","Yes",1147,-0.88,2.72,"Toxostoma rufum","Toxostoma_rufum",80,50,"Omnivore",2.680916959,"PASSERIFORMES",912.190748820978
7540,"Myadestes","townsendi",4004.80294079691,1504.8310441344,"Partial","short","No",32.4,0.33,0.45,"Myadestes townsendi","Myadestes_townsendi",60,50,"Omnivore",2.564370036,"PASSERIFORMES",1504.8310441344
7610,"Turdus","migratorius",11079.2132559514,3007.84759445834,"Partial","short","Yes",77.3,0.12,33.82,"Turdus migratorius","Turdus_migratorius",40,50,"Omnivore",3.146893471,"PASSERIFORMES",3007.84759445834
7550,"Hylocichla","mustelina",1575.13038843217,4173.8517797601,"Complete","long","No",47.8,-1.3,4.52,"Hylocichla mustelina","Hylocichla_mustelina",80,60,"Invertebrate",2.335115851,"PASSERIFORMES",4173.8517797601
6200,"Phainopepla","nitens",498.436468510415,3119.23079364797,"Complete","short","Yes",109.9,1.23,1.98,"Phainopepla nitens","Phainopepla_nitens",40,60,"FruiNect",2.327780669,"PASSERIFORMES",3119.23079364797
7490,"Corthylio","calendula",4071.81555247707,772.656631166059,"Complete","long","Yes",35.9,0.7,12.24,"Corthylio calendula","Regulus_calendula",50,80,"Invertebrate",1.565434368,"PASSERIFORMES",772.656631166059
6070,"Piranga","ludoviciana",401.315482200587,9750.20847595439,"Complete","short","Yes",100.7,0.55,6.36,"Piranga ludoviciana","Piranga_ludoviciana",40,80,"Invertebrate",2.230321436,"PASSERIFORMES",9750.20847595439
5950,"Pheucticus","ludovicianus",8053.17767779259,13788.7263878413,"Complete","long","Yes",46.1,-0.25,2.06,"Pheucticus ludovicianus","Pheucticus_ludovicianus",30,50,"Omnivore",2.401811084,"PASSERIFORMES",13788.7263878413
5960,"Pheucticus","melanocephalus",17201.9785823109,6872.74817934572,"Partial","long","Yes",92.1,0.42,2.96,"Pheucticus melanocephalus","Pheucticus_melanocephalus",50,70,"Invertebrate",2.59560266,"PASSERIFORMES",6872.74817934572
5970,"Passerina","caerulea",3984.91687174922,23990.0908556131,"Partial","long","Yes",28.1,0.72,3.2,"Passerina caerulea","Passerina_caerulea",100,40,"Omnivore",3.085739873,"PASSERIFORMES",23990.0908556131
6040,"Spiza","americana",20628.9173381568,23269.6487340972,"Complete","short","Yes",352,-0.6,26.41,"Spiza americana","Spiza_americana",100,100,"PlantSeed",2.079148346,"PASSERIFORMES",23269.6487340972
