Genus,Species,Family,Common.name,AOU,Banding_timing,Start,End,Migration,Partial,Note,Age.cohort.timing,Flocking,Flock.size,Flock.structure,Family.grouping,Altitudinal,Comments,Timing.of.migration,Flight.call.from.BOTW,MFC.from.oldbird.org,X,Maximum.flock.size,Maximum.flock.size..conspecifics.only.,Maximum.flock.size.while.travelling,Male.body.mass..g.,Migration.distance,Timing.of.migration.1,References
Passerella,iliaca,Passerellidae,Fox Sparrow,5850,Concurrent,240,330,Complete,No,,,Sometimes,Small,,,,,night,Yes,Yes,NA,2000,2000,180,6130,long,day,Knopf & Evans 2004
Leucophaeus,pipixcan,Laridae,Franklin's Gull,590,,NA,NA,Complete,No,,,Common,Large,,,,Flocks may be small or medium,day,Yes,,NA,300,NA,NA,67.2,short,day,Martin 2002; Beasley & Carrothers 1974
Dendrocygna,bicolor,Anatidae,Fulvous Whistling Duck,1780,,NA,NA,Partial,Yes,,,,,,,,,night,Yes,,NA,10000,10000,100,875,short,night,Robertson & Savard 2002; Kear 2005; Merkel et al. 2002; Gilchrist & Robertson 2000; Bellrose 1976; Alerstam & Gudmundsson 1999; Woodby & Divoky 1982; Brackbill 1952
Mareca,strepera,Anatidae,Gadwall,1350,,NA,NA,Partial,Yes,,Concurrent,Common,Small,Tight,,,Adult males migrate before adult females and young.,night,Yes,,NA,30000,30000,NA,770.5,short,night,Hohman & Lee 2001; Zwank & McKenzie 1988; Hohman et al. 1996; Kear 2005; Lynch 1943; Bellrose 1976
Larus,hyperboreus,Laridae,Glaucous Gull,420,,NA,NA,Complete,No,Limited residency reported,,Sometimes,Small,,,,,,,,NA,3,2,53000,54.4,long,day,Howell 1972; Brown 1997; Baird & Meyerriecks 1965; Anderson et al. 2004
Larus ,glaucescens,Laridae,Glaucous-winged Gull,440,,NA,NA,Partial,Yes,,,,,,,,,day,,,NA,5000,5000,30,33.9,long,night,Martin & Gavin 1995; Meanley & Neff 1953; Gauthreaux 1972; Di Giacomo et al. 2005; Baird & Nisbet 1959; Tyler 1916
Plegadis,falcinellus,Threskiornithidae,Glossy Ibis,1860,,NA,NA,Partial,Yes,,Adults first,Common,Small,,,,,night,,,NA,150,100,NA,650,short,night,Erwin 1983; Davis & Kricher 2000
Aquila,chrysaetos,Accipitridae,Golden Eagle,3490,,NA,NA,Partial,Yes,,Concurrent,Uncommon,Small,,,,,day,No,,NA,4,4,1,3477,short,day,Cramp & Simmons 80; Ferguson-Lees et al. 2001; Halley & Gjershaug 1998; Kochert et al. 2002; Kerlinger 1989
Setophaga,chrysoparia,Parulidae,Golden-cheeked Warbler,6660,,NA,NA,Complete,No,,,Common,,,,,Mixed Species flocks,night,,Yes,NA,3,4,NA,10.3,long,night,Curson et  al. 1994; Hunt & Eliason 1999; Thomas 1993; Latta & Brown 1999; Hall 1981; Stewart 1983; Brady 1990; Rodewald & Brittingham 2002
Regulus,satrapa,Regulidae,Golden-crowned Kinglet,7480,Concurrent,250,350,Partial,Yes,,,Common,,,,Some,Mixed species flocks,night,Yes,Yes,NA,10,10,NA,94.7,long,night,Barbosa 1995; Mueller 1999; Myers & Myers 1979
Zonotrichia,atricapilla,Passerellidae,Golden-crowned Sparrow,5570,Concurrent,220,300,Complete,No,,,Common,Medium,,,,,night,,,NA,200,200,14,453,short,night,Stedman 2000; Binford & Youngman 2010
Vermivora,chrysoptera,Parulidae,Golden-winged Warbler,6420,,NA,NA,Complete,No,,,,,,,,,night,,Yes,NA,12,12,NA,6.6,short,,Johnson et al. 1997; Curson et al. 1994; Lamm 1991
Ammodramus ,savannarum,Passerellidae,Grasshopper Sparrow,5460,,NA,NA,Partial,Yes,,,Sometimes,Small,,,,,night,Yes,Yes,NA,13,3,NA,9.4,long,night,Gram 1998; Morse 1970; Rappole & Warner 1980; Gilbert et al. 2010; Stewart 1983
Dumetella,carolinensis,Mimidae,Gray Catbird,7040,Adults first,260,340,Complete,No,,Juveniles first,,,,,,,night,,No,NA,NA,5000,NA,2322,long,,Gilchrist 2001
Empidonax ,wrightii,Tyrannidae,Gray Flycatcher,4691,,NA,NA,Complete,No,,,,,,,,,night,,,NA,NA,1,NA,10.4,short,night,Sedgwick 1993
Vireo,vicinior,Vireonidae,Gray Vireo,6340,,NA,NA,Complete,No,,,Sometimes,Small,,,,,night,,,NA,15,2,NA,12.2,long,night,Moskoff & Robinson 1996; Buskirk et al. 1972; Gradwohl & Greenberg 1980; Tramer & Kemp 1982
Catharus,minimus,Turdidae,Gray-cheeked Thrush,7570,Adults first,230,310,Complete,No,,,,,,,,,night,,Yes,NA,NA,1,NA,29.6,long,night,Mack & Yong 2000; Hutto 1994; Rappole & Warner 1980; Leck 1975; Moore et al. 1990; Bakermans 2008
Leucosticte,tephrocotis,Fringillidae,Gray-crowned Rosy-Finch,5240,,NA,NA,Partial,Yes,,,,,,,Some,,day,,,NA,6,2,NA,39.3,short,,Greenlaw 1996b; Davis 1957
Larus,marinus,Laridae,Great Black-backed Gull,470,,NA,NA,Partial,Yes,,Concurrent,Sometimes,,,Sometimes,,,,,,NA,100,100,40,13.5,long,day,Howell 1972; Garrison 1999; Thomas 1993; Forcey 2002
Ardea,herodias,Ardeidae,Great Blue Heron,1940,,NA,NA,Partial,Yes,,,Sometimes,Small,,,,,night,,,NA,1,1,NA,372,short,,Gibbs et al. 1992
Phalacrocorax,carbo,Phalacrocoracidae,Great Cormorant,1190,,NA,NA,Partial,Yes,,,Common,Small,,,,Mixed Species flocks,day,,,NA,10,NA,NA,415,short,night,Bannor & Kiviat 2002; Kushlan 2007
Myiarchus,crinitus,Tyrannidae,Great Crested Flycatcher,4520,Adults first,230,310,Partial,Yes,,,No,,,,,,night,,No,NA,30,2,NA,28.7,short,,Cardiff & Dittmann 2002; Hutto 1994
Ardea,alba,Ardeidae,Great Egret,1960,,NA,NA,Partial,Yes,,,Sometimes,Small,,,,,day,No,,NA,10,10,100,2480,long,night,Butler 1992; Krebs 1974
Aythya,marila,Anatidae,Greater Scaup,1480,,NA,NA,Complete,No,Pottentially limited residency,Concurrent,Common,Medium,Tight,,,Adult males migrate before adult females and young.,night,,,NA,15000,10000,75,768.4,long,night,Hohman & Eberhardt 1998; Kear 2005; Bellrose 1976; Thompson 1973
Anser,albifrons,Anatidae,Greater White-fronted Goose,1710,,NA,NA,Complete,No,,Concurrent,Common,Small,Tight,,,,Both,Yes,,NA,100,100,40,380,long,night,Rohwer et al. 2002; Kear 2005; Miller 1947; Holland & Williams 1978
Tringa,melanoleuca,Scolopacidae,Greater Yellowlegs,2540,,NA,NA,Complete,No,,Adults first,Common,Small,Tight,,,Flocks may be medium,night,Yes,,NA,1,1,1,68.8,short,night,Rasmussen et al. 2008
Butorides,virescens,Ardeidae,Green Heron,2010,,NA,NA,Partial,Yes,,,,,,,,,night,,,NA,10,10,15,364,short,,Rodgers & Smith 1995; Caldwell 1986; Custer & Osborne 1978; Erwin 1983; Williams 1945
Pipilo,chlorurus,Passerellidae,Green-tailed Towhee,5900,Concurrent,220,350,Complete,No,,,Common,Small,,,,,night,,,NA,175,175,1000,2498,short,day,Hatch & Wesseloe 1999
