Genus,Species,Family,Common_name,AOU,Banding_cohort_timing,BOTW_cohort_timing,Combined_Cohort_Timing,Start,End,Migration,Note,Flocking,Max_flock_size_travelling,Flock_size,Combined_Flock_Size,Flock_structure,Family_grouping,Altitudinal,Comments,BOTW_migration_timing,Beauchamp_migration_timing,Combined_Migration_Timing,BOTW_MFC,Evans_MFC,Combined_MFC,Max_flock_size,Max_flock_size_conspecifics,Male_mass_g,Mig_distance,CBC_Lon_slope,CBC_Lat_slope,BBS_Lon_slope,BBS_Lat_slope,CBC_Lon_slope_Error,CBC_Lat_slope_Error,BBS_Lon_slope_Error,BBS_Lat_slope_Error
Dendrocygna,bicolor,Anatidae,Fulvous Whistling Duck,1780,,,,,,Partial,,,100,,Small,,,,,night,night,night,Yes,,Yes,10000,10000,875,short,-1369.595145,-5862.826803,1252.840121,394.9531863,46906.15515,486278.7923,2179.274627,10720.48108
Mareca,strepera,Anatidae,Gadwall,1350,,Concurrent,Concurrent,,,Partial,,Yes,,Small,Small,Tight,,,Adult males migrate before adult females and young.,night,night,night,Yes,,Yes,30000,30000,770.5,short,-4173.549398,8857.225887,745.1205318,1592.625523,2108.684312,3180.910942,1572.276081,1530.204837
Larus,hyperboreus,Laridae,Glaucous Gull,420,,,,,,Complete,Limited residency reported,Sometimes,53000,Small,Small,,,,,,day,day,,,,3,2,54.4,long,6719.667426,3046.860353,,,14807.43329,9284.042562,,
Larus,glaucescens,Laridae,Glaucous-winged Gull,440,,,,,,Partial,,,30,,Small,,,,,day,night,day,,,,5000,5000,33.9,long,,,28.20611365,77.40037816,,,14373.37582,8137.971174
Plegadis,falcinellus,Threskiornithidae,Glossy Ibis,1860,,Adults first,Adults first,,,Partial,,Yes,,Small,Small,,,,,night,night,night,,,,150,100,650,short,1373.464021,-2594.658567,-3801.057957,-17754.76281,8925.423513,7800.882737,21714.03126,4850.532368
Aquila,chrysaetos,Accipitridae,Golden Eagle,3490,,Concurrent,Concurrent,,,Partial,,Sometimes,1,Small,Small,,,,,day,day,day,No,,No,4,4,3477,short,-3707.887978,1767.078968,593.4219921,526.6350475,62086.53946,36752.65718,1353.280191,368.1313966
Setophaga,chrysoparia,Parulidae,Golden-cheeked Warbler,6660,,,,,,Complete,,Yes,,,,,,,Mixed Species flocks,night,night,night,,Yes,Yes,3,4,10.3,long,,,,,,,,
Regulus,satrapa,Regulidae,Golden-crowned Kinglet,7480,Concurrent,,Concurrent,250,350,Partial,,Yes,,,,,,Sometimes,Mixed species flocks,night,night,night,Yes,Yes,Yes,10,10,94.7,long,-4684.893277,5438.145818,18856.46972,-883.4552593,1695.07547,860.7971639,2372.249802,1236.866657
Zonotrichia,atricapilla,Passerellidae,Golden-crowned Sparrow,5570,Concurrent,,Concurrent,220,300,Complete,,Yes,14,Medium,Medium,,,,,night,night,night,,,,200,200,453,short,565.3885153,6674.516442,,,5357.247371,1112.145604,,
Vermivora,chrysoptera,Parulidae,Golden-winged Warbler,6420,,,,,,Complete,,,,,,,,,,night,,night,,Yes,Yes,12,12,6.6,short,,,-12639.04589,9155.504974,,,1386.922216,1153.637274
Ammodramus,savannarum,Passerellidae,Grasshopper Sparrow,5460,,,,,,Partial,,Sometimes,,Small,Small,,,,,night,night,night,Yes,Yes,Yes,13,3,9.4,long,,,-7308.573962,-337.7335048,,,531.2143938,338.7893628
Dumetella,carolinensis,Mimidae,Gray Catbird,7040,Adults first,Juveniles first,Juveniles first,260,340,Complete,,,,,,,,,,night,,night,,No,No,,5000,2322,long,-226.9521836,-1462.459684,574.5979313,1477.966627,2181.813108,1578.020798,428.2556787,121.04082
Empidonax,wrightii,Tyrannidae,Gray Flycatcher,4691,,,,,,Complete,,,,,,,,,,night,night,night,,,,,1,10.4,short,,,-1060.970001,848.166529,,,8288.794798,2995.012445
Vireo,vicinior,Vireonidae,Gray Vireo,6340,,,,,,Complete,,Sometimes,,Small,Small,,,,,night,night,night,,,,15,2,12.2,long,,,-43.27777939,-111.9667047,,,4987.526678,1464.726188
Catharus,minimus,Turdidae,Gray-cheeked Thrush,7570,Adults first,,Adults first,230,310,Complete,,,,,,,,,,night,night,night,,Yes,Yes,,1,29.6,long,,,,,,,,
Leucosticte,tephrocotis,Fringillidae,Gray-crowned Rosy-Finch,5240,,,,,,Partial,,,,,,,,Sometimes,,day,,day,,,,6,2,39.3,short,-3702.932956,-2007.531249,,,20434367910,19921325959,,
Larus,marinus,Laridae,Great Black-backed Gull,470,,Concurrent,Concurrent,,,Partial,,Sometimes,40,,Small,,Sometimes,,,,day,day,,,,100,100,13.5,long,-799.1885043,2626.456019,-744.774998,-1343.921709,13636.86083,3855.410533,12260.6233,5557.353506
Ardea,herodias,Ardeidae,Great Blue Heron,1940,,,,,,Partial,,Sometimes,,Small,Small,,,,,night,,night,,,,1,1,372,short,5965.226581,1236.914539,3910.733768,-4545.224391,644.6146946,551.9101659,462.8560409,334.1523579
Phalacrocorax,carbo,Phalacrocoracidae,Great Cormorant,1190,,,,,,Partial,,Yes,,Small,Small,,,,Mixed Species flocks,day,night,day,,,,10,,415,short,-731.0607436,2274.174748,,,45088.7657,19447.21887,,
Myiarchus,crinitus,Tyrannidae,Great Crested Flycatcher,4520,Adults first,,Adults first,230,310,Partial,,No,,,Solo,,,,,night,,night,,No,No,30,2,28.7,short,,,1793.612388,-1610.707611,,,294.2002032,156.8477771
Ardea,alba,Ardeidae,Great Egret,1960,,,,,,Partial,,Sometimes,100,Small,Small,,,,,day,night,day,No,,No,10,10,2480,long,-6708.446243,3872.795832,-2557.068235,5474.050708,1447.56813,2012.037663,1750.052065,3212.714792
Aythya,marila,Anatidae,Greater Scaup,1480,,Concurrent,Concurrent,,,Complete,Pottentially limited residency,Yes,75,Medium,Medium,Tight,,,Adult males migrate before adult females and young.,night,night,night,,,,15000,10000,768.4,long,-22710.25524,-319.5242506,,,53127.96798,65169.40477,,
Anser,albifrons,Anatidae,Greater White-fronted Goose,1710,,Concurrent,Concurrent,,,Complete,,Yes,40,Small,Small,Tight,,,,Both,night,Both,Yes,,Yes,100,100,380,long,5141.17892,13913.96264,,,6440.607017,21255.52681,,
Tringa,melanoleuca,Scolopacidae,Greater Yellowlegs,2540,,Adults first,Adults first,,,Complete,,Yes,1,Small,Small,Tight,,,Flocks may be medium,night,night,night,Yes,,Yes,1,1,68.8,short,-3956.318165,5410.2125,971.1820004,-528.4948846,1643.495751,2540.380835,11784.47241,13504.08857
Butorides,virescens,Ardeidae,Green Heron,2010,,,,,,Partial,,,15,,Small,,,,,night,,night,,,,10,10,364,short,-7859.060125,2386.635994,-873.2593996,-348.513285,1703.173819,1599.434076,394.1002277,382.8133906
Pipilo,chlorurus,Passerellidae,Green-tailed Towhee,5900,Concurrent,,Concurrent,220,350,Complete,,Yes,1000,Small,Small,,,,,night,day,night,,,,175,175,2498,short,-2251.400558,1790.280398,-1039.238974,-181.7033416,5474.390651,4286.479232,2008.24403,306.0152541
Anas,crecca,Anatidae,Green-winged Teal,1390,Adults first,Concurrent,Concurrent,230,340,Partial,Nearly complete,Yes,200,Large,Large,Tight,,,,night,night,night,Yes,,Yes,2500,2500,350,short,-17463.00601,16898.7848,1858.002579,1350.101026,3581.158438,4493.161208,2160.87968,2753.235335
Gelochelidon,nilotica,Laridae,Gull-billed Tern,630,,,,,,Partial,,Yes,,,,,,,,,,,,,,6,6,578,short,1192.378614,1603.004873,-3160.112041,-1578.245903,1914.876711,8627.551165,2458.805887,15734.25441
Falco,rusticolus,Falconidae,Gyrfalcon,3540,,Concurrent,Concurrent,,,Partial,,No,,,Solo,,,,,day,night,day,,,,15,2,19,long,,,,,,,,
Empidonax,hammondii,Tyrannidae,Hammond's Flycatcher,4680,Concurrent,,Concurrent,230,340,Complete,,,,,,,,,,night,night,night,,,,1,1,12.7,long,,,-159.9198558,-2411.823324,,,3759.392827,2469.680984
Histrionicus,histrionicus,Anatidae,Harlequin Duck,1550,,,,,,Partial,,Yes,25,Small,Small,,,,,,night,night,No,,No,150,150,11900,short,21619.45531,-169.1183267,4243.728712,-503.1623125,11510.21737,7126.951213,34687.49838,37841.1135
Zonotrichia,querula,Passerellidae,Harris's Sparrow,5530,Adults first,Adults first,Adults first,270,350,Complete,,Yes,74,Small,Small,,,,,night,night,night,,Yes,Yes,20,20,1330.9,short,543.1365801,666.9739186,,,787.3866396,1205.8489,,
Centronyx,henslowii,Passerellidae,Henslow's Sparrow,5470,,,,,,Complete,,,,,,,,,,night,night,night,,Yes,Yes,25,3,7.2,long,-652.141836,1421.876917,-13260.74775,-6255.565966,6553.918627,8516.031986,2575.693504,772.0466248
Piranga,flava,Cardinalidae,Hepatic Tanager,6090,,,,,,Partial,,Yes,40,Small,Small,,,Sometimes,,,night,night,,,,100,100,130,long,,,532.8293541,187.9417574,,,6247.457499,3774.440989
Catharus,guttatus,Turdidae,Hermit Thrush,7590,Adults first,Concurrent,Concurrent,250,350,Partial,,,,,,,,,,night,night,night,,Yes,Yes,,1,27.5,long,,,8453.284097,2772.996549,,,1198.684447,832.9794599
Setophaga,occidentalis,Parulidae,Hermit Warbler,6690,,,,,,Complete,,Yes,,Small,Small,,,Sometimes,Mixed Species flocks,,night,night,,,,30,4,8.8,short,-81.78204914,364.5455117,-70.71681875,193.3786463,14293.18317,1040.42997,2851.897654,820.9369481
Larus,argentatus,Laridae,Herring Gull,510,,,,,,Partial,,Yes,100,,Small,,,,,,day,day,,,,12,12,15.9,long,,,-4776.498657,-1842.595702,,,6796.09728,2162.307319
Acanthis,hornemanni,Fringillidae,Hoary Redpoll,5270,,Concurrent,Concurrent,,,Partial,Irruptive,Yes,,Small,Small,Loose,,,,day,night,day,Yes,Yes,Yes,10,10,32.5,short,6797.654455,-2088.115298,,,17803.14864,27730.54687,,
Lophodytes,cucullatus,Anatidae,Hooded Merganser,1310,,,,,,Partial,,Sometimes,100,Small,Small,,,,,night,night,night,No,,No,180,180,7200,long,824.8726746,3973.164016,-1356.946257,19.38825423,1871.527407,1750.588661,2271.537835,1932.821935
Icterus,cucullatus,Icteridae,Hooded Oriole,5050,,,,,,Partial,,,,,,,,,,,,,,,,39,39,26.9,short,,,5124.553262,-2547.19029,,,3846.665485,2376.560465
Setophaga,citrina,Parulidae,Hooded Warbler,6840,Concurrent,,Concurrent,250,330,Complete,,No,,,Solo,,,,,night,,night,,Yes,Yes,25,12,11.1,long,,,-1364.734695,1285.949576,,,1030.050334,615.7283332
Podiceps,auritus,Podicipedidae,Horned Grebe,30,,,,,,Complete,,Yes,,,,,,,,night,night,night,,,,10,10,37.7,long,,,690.7201408,-352.7533228,,,3614.528141,6067.426475
Eremophila,alpestris,Alaudidae,Horned Lark,4740,,,,,,Partial,,Yes,,,,,,Sometimes,,day,day,day,Yes,Yes,Yes,100,100,31.4,short,,,1249.948639,-3020.154821,,,379.695414,250.8329042
Troglodytes,aedon,Troglodytidae,House Wren,7210,,Concurrent,Concurrent,,,Partial,,,,,,,,,,night,night,night,,No,No,26,2,10.9,short,,,-2320.271799,248.0943467,,,324.9591895,144.7321725
Limosa,haemastica,Scolopacidae,Hudsonian Godwit,2510,,Adults first,Adults first,,,Complete,,Yes,75,Small,Small,,,,Flocks may be medium,night,day,night,,,,50000,100,636,long,,,,,,,,
Passerina,cyanea,Cardinalidae,Indigo Bunting,5980,Adults first,,Adults first,270,330,Complete,,Yes,,,,,,,,night,,night,No,Yes,No,,,41,short,-14052.87806,-1651.910891,-1681.711947,-249.7044971,5684.576073,8105.271464,208.6484796,85.1010232
Pagophila,eburnea,Laridae,Ivory Gull,,,,,,,Complete,Dispersive migration,Yes,,Small,Small,,,,Flocks may be medium,,,,,,,5,5,24.3,short,,,,,,,,
Geothlypis,formosa,Parulidae,Kentucky Warbler,6770,Concurrent,,Concurrent,240,310,Complete,,No,50000,,Solo,,,,,night,,night,,Yes,Yes,1000000,1000000,281,long,,,-1057.437633,-799.4691568,,,895.3580895,440.6414577
Charadrius,vociferus,Charadriidae,Killdeer,2730,,,,,,Partial,,Yes,,Small,Small,,,,,night,night,night,Yes,,Yes,,1,45.8,long,8626.53558,-1081.252346,4233.609251,-4054.684362,892.6574822,1141.952417,274.3531019,235.617298
Somateria,spectabilis,Anatidae,King Eider,1620,,Adults first,Adults first,,,Complete,,Yes,1180,Medium,Medium,Tight,,,Flocks can be large but most are not in fall,day,night,day,,,,17000,17000,2019,short,-1972.926486,626.672423,,,18828.40614,6130.229584,,
Rallus,elegans,Rallidae,King Rail,2080,,,,,,Partial,,,100,,Small,,,,,night,night,night,,,,120,60,70,long,9918.5746,2001.870347,407.669094,158.6057694,3715.465393,7480.070683,3819.46232,10918.78043
Setophaga,kirtlandii,Parulidae,Kirtland's Warbler,6700,,,,,,Complete,,No,,,Solo,,,,,night,night,night,,Yes,Yes,,2,9.92,short,,,,,,,,
Calcarius,lapponicus,Calcariidae,Lapland Longspur,5360,,,,,,Complete,,Sometimes,,Medium,Medium,,,,Flocks range from small to large,night,,night,Yes,Yes,Yes,1,1,50.3,short,,,,,,,,
Calamospiza,melanocorys,Passerellidae,Lark Bunting,6050,,Adults first,Adults first,,,Complete,,Yes,,Small,Small,,,,,day,,day,,,,25,1,15.9,long,-3193.202187,3008.247553,-2049.26248,-282.8296169,12078993049,11852030874,2297.56017,1576.347648
Chondestes,grammacus,Passerellidae,Lark Sparrow,5520,,Adults first,Adults first,,,Partial,,Yes,,Small,Small,,,,,night,,night,,no,No,21,2,9.3,long,-4495.615211,1450.295072,-762.5786944,4484.336925,4419.997559,3413.82242,492.5121752,497.2273062
Leucophaeus,atricilla,Laridae,Laughing Gull,580,,,,,,Partial,,Yes,1000,Medium,Medium,,,,,,day,day,,,,1000,1000,64.3,short,-2473.698246,2069.204187,-1350.948066,620.1161807,21121.76285,23722.77331,10329.69131,2126.182348
Passerina,amoena,Cardinalidae,Lazuli Bunting,5990,Adults first,Adults first,Adults first,210,300,Complete,,Yes,,,,,,,,night,,night,,,,30,,46.1,long,411.9817966,-62.18766413,-67.13456644,587.2090714,47003.80443,21765.04241,2072.486701,1057.311614
Ixobrychus,exilis,Ardeidae,Least Bittern,1910,,,,,,Partial,,,,,,,,,,,,,,,,1,,716,short,-34412.27923,8203.564397,-685.0668021,637.1651967,9240.52468,5311.851149,3541.393569,8071.367206
Empidonax,minimus,Tyrannidae,Least Flycatcher,4670,Adults first,Adults first,Adults first,200,320,Complete,,,1,,Solo,,,,,night,,night,,No,No,,1,12.8,long,,,-10442.63161,2354.961702,,,678.3075655,428.2324525
Calidris,minutilla,Scolopacidae,Least Sandpiper,2420,Adults first,,Adults first,200,340,Complete,,Yes,,,,,,,,night,night,night,,,,,30000,45,long,13827.0574,-3016.951764,,,11439494.65,4663277.399,,
Sternula,antillarum,Laridae,Least Tern,740,,Concurrent,Concurrent,,,Complete,,Yes,,Small,Small,Loose,Yes,,,,night,night,,,,200,200,123.2,short,,,-6809.39373,3745.298613,,,7977.781532,6767.977401
Ammospiza,leconteii,Passerellidae,LeConte's Sparrow,5480,Concurrent,,Concurrent,240,340,Complete,,No,,,Solo,,,,,night,night,night,,Yes,Yes,41,7,9.6,long,-734.5647463,2714.170393,2906.336588,-802.4231081,994.6914046,4454.034179,1372.355551,5811.542224
Chordeiles,acutipennis,Caprimulgidae,Lesser Nighthawk,4210,,,,,,Partial,,Sometimes,,Small,Small,Loose,,,,day,,day,No,No,No,10,10,13,short,14353.16717,-1448.528426,-751.1457008,539.3929301,12187.3695,57352.6151,5088.609631,4630.821543
Aythya,affinis,Anatidae,Lesser Scaup,1490,,Concurrent,Concurrent,,,Complete,,Yes,,Large,Large,Tight,,,,night,night,night,No,,No,30000,4200,2725,long,-1442.400667,2611.633787,2980.135956,247.3538146,596467.8253,728294.4457,2608.82708,3152.218591
Tringa,flavipes,Scolopacidae,Lesser Yellowlegs,2550,,Adults first,Adults first,,,Complete,,Yes,,Small,Small,,,,,night,,night,,,,155,47,200,short,-3179.514325,3008.55607,4526.053903,-1370.77775,2185.989526,3662.27488,7504.362741,11068.84647
Melanerpes,lewis,Picidae,Lewis's Woodpecker,4080,,,,,,Partial,,Yes,1,Small,Small,,,,Flocks may be medium,day,night,day,No,,No,,,89.4,short,,,737.4758873,-244.2556376,,,6123.29696,2498.427655
Melospiza,lincolnii,Passerellidae,Lincoln's Sparrow,5830,Adults first,,Adults first,230,330,Complete,,,,,,,,,,night,night,night,Yes,Yes,Yes,8,2,10.3,long,,,-26288.99488,-2399.137211,,,2003.749544,1574.286018
Egretta,caerulea,Ardeidae,Little Blue Heron,2000,,,,,,Partial,,,,Small,Small,,,,,,,,,,,100,7,296,short,2704.218574,-333.3065787,-4.856507663,-4416.882453,3276.091357,3316.480768,1140.35717,2359.389342
Hydrocoloeus,minutus,Laridae,Little Gull,601,,,,,,Complete,,Sometimes,21000,Small,Small,,,,,day,day,day,,,,150,150,18.1,long,-371.2649617,-573.042894,,,18480.21098,6666.529333,,
Lanius,ludovicianus,Laniidae,Loggerhead Shrike,6220,Adults first,,Adults first,190,300,Partial,,No,7,,Solo,,,,,day,day,day,,No,No,7,7,7497,long,-1942.256215,-1071.389316,-9948.610805,3821.289193,584.328327,887.1019225,628.6866018,478.040588
Numenius,americanus,Scolopacidae,Long-billed Curlew,2640,,Concurrent,Concurrent,,,Complete,,Yes,120,Small,Small,,Sometimes,,,,,,,,,5,5,649.2,long,-7064.505063,1811.978964,-5044.133626,4762.774843,900189.9014,651841.4257,2557.947508,1112.475009
Limnodromus,scolopaceus,Scolopacidae,Long-billed Dowitcher,2320,,Adults first,Adults first,,,Complete,,Yes,100,Small,Small,,,,,night,,night,Yes,,Yes,100,100,269.6,long,10300.52167,-1686.358215,,,20501.30227,20344.88609,,
Asio,otus,Strigidae,Long-eared Owl,3660,,Juveniles first,Juveniles first,,,Partial,,No,,,Solo,,,,Irruptive,night,day,night,,No,No,50,6,6,short,-12645.61799,3759.507769,1701.647777,383.3212639,6654.574547,2695.087441,17695.56708,10544.93596
Clangula,hyemalis,Anatidae,Long-tailed Duck,1540,,Concurrent,Concurrent,,,Complete,Pottentially limited residency,Yes,,Small,Small,Tight,,,Evidence of medium migratory flocks in europe,night,night,night,Yes,,Yes,60,60,1130,short,-1759.125535,-1651.092084,,,27531.99146,12818.25213,,
Stercorarius,longicaudus,Stercorariidae,Long-tailed Jaeger,380,,,,,,Complete,,Sometimes,,Small,Small,,,,,day,,day,,,,1,1,148.8,short,,,,,,,,
Parkesia,motacilla,Parulidae,Louisiana Waterthrush,6760,Adults first,,Adults first,200,300,Complete,,No,,,Solo,,,,,night,,night,,Yes,Yes,50,7,9.87,long,,,-812.2118179,-55.6852868,,,1015.151311,201.4121116
Leiothlypis,luciae,Parulidae,Lucy's Warbler,6430,,Concurrent,Concurrent,,,Complete,,,1,,Solo,,,,,,night,night,,,,12,12,68.8,short,,,-239.4597708,52.64303713,,,3027.575982,1379.899747
Geothlypis,tolmiei,Parulidae,MacGillivray's Warbler,6800,Concurrent,Juveniles first,Juveniles first,220,320,Complete,,,11,,Small,,,,,,,,,,,50000,10000,432.4,long,,,1018.830729,-2025.235634,,,1585.273685,880.951658
Setophaga,magnolia,Parulidae,Magnolia Warbler,6570,Concurrent,Juveniles first,Juveniles first,220,330,Complete,,Yes,,Small,Small,Loose,,,Mixed Species flocks,night,,night,Yes,Yes,Yes,50,2,9.1,long,,,2786.635251,1668.043712,,,1278.986267,812.4684616
Anas,platyrhynchos,Anatidae,Mallard,1320,,Concurrent,Concurrent,,,Partial,Only hybrids in banding data,Yes,100,Small,Small,Tight,,,Adult males migrate before adult females and young.,night,night,night,Yes,,Yes,85,25,620,short,,,-783.7166445,216.851423,,,793.2065066,786.9031902
Limosa,fedoa,Scolopacidae,Marbled Godwit,2490,,Adults first,Adults first,,,Complete,,Yes,65,,Small,,,,,,,,,,,,3,429.2,long,8141.395834,237.5895734,2148.740514,-3958.277674,27771.70539,7507.917136,956.6134555,1484.754515
Cistothorus,palustris,Troglodytidae,Marsh Wren,7250,Concurrent,,Concurrent,220,300,Partial,,,,,,,,,,night,night,night,,No,No,2,2,10.6,short,141.939455,2646.676622,-9610.4792,2031.34192,2517.579453,808.645474,1350.58305,1160.634686
Falco,columbarius,Falconidae,Merlin,3570,Juveniles first,Juveniles first,Juveniles first,230,300,Partial,,Sometimes,,Small,Small,Loose,,,,day,,day,,,,50,,19.8,short,,,2400.018777,-858.0882783,,,1567.486276,2538.757634
Ictinia,mississippiensis,Accipitridae,Mississippi Kite,3290,,Concurrent,Concurrent,,,Complete,,Yes,1000,Large,Large,,,,,day,day,day,Yes,,Yes,100,100,245,long,,,8825.726653,-4025.741476,,,664.9592401,1297.960416
Sialia,currucoides,Turdidae,Mountain Bluebird,7680,,Concurrent,Concurrent,,,Complete,Very limited residency reported,Yes,,,,,Yes,,,day,,day,,Yes,Yes,43,43,29.6,long,,,-772.9050479,2103.711977,,,1914.711787,676.7954888
Charadrius,montanus,Charadriidae,Mountain Plover,2810,,,,,,Complete,Pottentially limited residency,Yes,,Small,Small,,,,,night,night,night,Yes,,Yes,15,15,26.3,short,,,194.4597751,593.7744381,,,3629.428562,1943.629768
Zenaida,macroura,Columbidae,Mourning Dove,3160,,,,,,Partial,,Yes,,Small,Small,,,,,day,,day,No,No,No,350,,13.6,short,-315.7046483,4400.346563,3934.626891,126.7350972,627.2814856,584.6415485,234.3910558,94.29222327
Geothlypis,philadelphia,Parulidae,Mourning Warbler,6790,Adults first,,Adults first,210,320,Complete,,,22,,Small,,,,,night,,night,Yes,Yes,Yes,100,100,529,short,,,-1916.9019,-74.23209361,,,674.1087948,817.350995
Leiothlypis,ruficapilla,Parulidae,Nashville Warbler,6450,Adults first,Concurrent,Concurrent,230,340,Complete,,Yes,,Small,Small,,,,Mixed Species flocks,night,day,night,,Yes,Yes,,,24.4,long,-11791.06446,9160.247065,-1499.690682,1350.718515,4250.384657,5474.698208,670.4897865,705.1037662
Colaptes,auratus,Picidae,Northern Flicker,,,,,,,Partial,red-shafted/yellow-shafted seperated in banding,Yes,100,Small,Small,Loose,,,Flocks may be medium,night,night,night,,No,No,1,1,88,long,,,,,,,,
Morus,bassanus,Sulidae,Northern Gannet,1170,,Juveniles first,Juveniles first,,,Partial,,,,,,,,,Adults more resident,,,,,,,8,8,25,long,2223.928648,2938.064565,-1.49E-12,0,24266.68178,11915.38815,444600.5835,260357.5655
Accipiter,gentilis,Accipitridae,Northern Goshawk,3340,,Juveniles first,Juveniles first,,,Mostly Resident,Southerly range expansion in winter,,1,,Solo,,,Sometimes,,day,day,day,No,,No,1,1,704,short,,,-580.6206491,-72.73104344,,,2930.817636,1498.812094
Circus,hudsonius,Accipitridae,Northern Harrier,3310,,Juveniles first,Juveniles first,,,Partial,,No,10,,Solo,,No,,,day,day,day,,,,1,1,372,long,,,-755.98966,424.8218906,,,713.4952565,632.1711481
Setophaga,americana,Parulidae,Northern Parula,6480,Adults first,,Adults first,250,320,Complete,,Yes,,Small,Small,,,,Mixed Species flocks,night,night,night,,Yes,Yes,26,18,10.3,long,-936.1949176,-426.2860065,2603.899942,8597.902089,6591.447827,5881.460834,774.5130217,724.008874
Anas,acuta,Anatidae,Northern Pintail,1430,Concurrent,Concurrent,Concurrent,220,300,Complete,Very limited residency reported,Yes,1000,Large,Large,Tight,,,Adult males migrate before adult females and young.,night,night,night,Yes,,Yes,4000,4000,1006,long,-14710.67798,16691.82877,3084.696133,188.965864,10708.78667,5014.525558,2430.486407,3325.827532
Stelgidopteryx,serripennis,Hirundidae,Northern Rough-winged Swallow,6170,,,,,,Partial,,Yes,1,Medium,Medium,,,,,day,day,day,,Yes,Yes,1,1,565,short,686.4812185,10121.00742,6618.127078,-3165.993692,76843.86559,49121.24114,707.0241163,397.7373902
Aegolius,acadicus,Strigidae,Northern Saw-whet Owl,3720,Concurrent,Adults first,Adults first,260,320,Partial,,No,15,,Solo,,,,Irruptive,night,night,night,,Yes,Yes,500,500,563,short,4299.607008,-1590.600085,1088.547685,-249.6517595,2717.280033,1926.773355,19294.74646,9803.165314
Anas,clypeata,Anatidae,Northern Shoveler,1420,,Concurrent,Concurrent,,,Complete,,Yes,100,Small,Small,Tight,,,Adult males migrate before adult females and young.,night,day,night,,,,2500,2500,811,long,,,3036.883037,255.172473,,,2004.152215,2811.473103
Lanius,borealis,Laniidae,Northern Shrike,6210,,Concurrent,Concurrent,,,Complete,,Sometimes,,Small,Small,,Sometimes,,,day,,day,,No,No,7,7,4900,short,,,,,,,,
Parkesia,noveboracensis,Parulidae,Northern Waterthrush,6750,Adults first,,Adults first,200,310,Complete,,Yes,,Small,Small,Loose,,,,night,night,night,,Yes,Yes,22,7,10.1,long,1583.455852,1897.086103,-8791.334276,780.1853433,29322.65905,26668.3136,1258.884043,1012.231739
Contopus,cooperi,Tyrannidae,Olive-sided Flycatcher,4590,,,,,,Complete,,No,,,Solo,,,,,night,,night,,No,No,,1,34.5,long,,,-2474.643331,-312.5503501,,,1347.45122,534.263522
Leiothlypis,celata,Parulidae,Orange-crowned Warbler,6460,Concurrent,,Concurrent,250,320,Partial,,Sometimes,,Small,Small,,,,,night,,night,,Yes,Yes,12,12,44,short,-4800.791937,2572.299191,3461.1097,-974.2665534,759.5800707,1972.712976,2079.903837,1012.49488
Icterus,spurius,Icteridae,Orchard Oriole,5060,Adults first,,Adults first,200,310,Complete,,Yes,,Small,Small,,,,,night,day,night,,No,No,1000,,24.6,long,,,-217.1603442,4438.080741,,,324.9369345,371.6532496
Pandion,haliaetus,Pandionidae,Osprey,3640,,,,,,Partial,,No,,,Solo,,,,,day,,day,,,,100,100,409,long,-1241.764247,464.6365875,11449.40527,578.1616011,2175.31156,2157.456481,1739.906637,684.5163869
Seiurus,aurocapilla,Parulidae,Ovenbird,6740,Adults first,,Adults first,250,320,Complete,,,,,,,,,,night,night,night,,Yes,Yes,15,2,8.96,long,287.4209073,2875.858327,1340.223068,555.0835142,4546.061771,3936.946931,472.5357673,205.4939861
Pluvialis,fulva,Charadriidae,Pacific Golden-Plover,2721,,Adults first,Adults first,,,Complete,,Yes,,,,,,,,night,night,night,Yes,,Yes,1,1,19.5,short,,,,,,,,
Gavia,pacifica,Gaviidae,Pacific Loon,100,,,,,,Complete,,Yes,,Small,Small,Loose,,,,day,night,day,No,,No,300,300,18.6,long,,,,,,,,
Empidonax,difficilis,Tyrannidae,Pacific-slope Flycatcher,4641,,Adults first,Adults first,,,Complete,,,,,,,,,,,,,,,,,1,11.4,short,,,905.5333765,-410.0344475,,,1712.10153,703.5362158
Passerina,ciris,Cardinalidae,Painted Bunting,6010,Adults first,,Adults first,250,350,Complete,,,,,,,,,,night,night,night,,Yes,Yes,40,8,8.4,short,406.8008154,1683.072925,-1472.983565,2906.399028,6638.988426,6033.569925,206.317218,773.7101224
Setophaga,palmarum,Parulidae,Palm Warbler,6720,,,,,,Complete,seperated yellow/brown in banding,Yes,,Small,Small,,,,Mixed Species flocks,night,night,night,,Yes,Yes,11,2,10.3,long,-1443.061737,831.9188105,6425.654899,-1521.416621,3614.942479,3224.785276,5381.163762,13336.19335
Stercorarius,parasiticus,Stercorariidae,Parasitic Jaeger,370,,,,,,Complete,,Sometimes,1,Small,Small,,,,,day,,day,,,,1,1,1806,short,5884.634166,1522.083753,,,12008.4579,9300.272757,,
Calidris,melanotos,Scolopacidae,Pectoral Sandpiper,2390,,Adults first,Adults first,,,Complete,,Yes,,Small,Small,,,,,night,night,night,,,,2000000,2000000,33.2,long,,,,,,,,
Urile,pelagicus,Phalacrocoracidae,Pelagic Cormorant,1230,,,,,,Partial,,Sometimes,,Small,Small,Loose,,,,day,night,day,No,,No,1,1,213.4,short,573.3567019,3283.488724,199.5523249,554.7391466,11906.24904,3986.965153,43057.90167,11056.37082
