Genus,Species,Family,Common_name,AOU,Banding_cohort_timing,BOTW_cohort_timing,Combined_Cohort_Timing,Start,End,Migration,Note,Flocking,Max_flock_size_travelling,Flock_size,Combined_Flock_Size,Flock_structure,Family_grouping,Altitudinal,Comments,BOTW_migration_timing,Beauchamp_migration_timing,Combined_Migration_Timing,BOTW_MFC,Evans_MFC,Combined_MFC,Max_flock_size,Max_flock_size_conspecifics,Male_mass_g,Mig_distance,CBC_Lon_slope,CBC_Lat_slope,BBS_Lon_slope,BBS_Lat_slope,CBC_Lon_slope_Error,CBC_Lat_slope_Error,BBS_Lon_slope_Error,BBS_Lat_slope_Error
Zonotrichia,leucophrys,Passerellidae,White-crowned Sparrow,5540,Concurrent,Juveniles first,Juveniles first,250,320,Partial,,No,40,,Solo,,,,,night,night,night,,Yes,Yes,1000,1000,421.6,short,38.54389168,4115.696672,3127.044769,3529.154927,3108.88323,1133.709942,1519.686656,790.1430651
Vireo,griseus,Vireonidae,White-eyed Vireo,6310,Adults first,Concurrent,Concurrent,250,340,Partial,,,,,,,,,,night,night,night,No,No,No,,2,18,long,-7820.149135,373.7054465,-2016.587751,-333.3309983,1693.525553,1902.17967,393.741711,364.3868048
Plegadis,chihi,Threskiornithidae,White-faced Ibis,1870,,,,,,Partial,,Yes,,,,,,,,,,,,,,1000,1000,679,short,-8164.309502,5256.762235,-6537.435219,8503.634101,149875.9816,98724.57153,8749.415386,22182.31088
Calidris,fuscicollis,Scolopacidae,White-rumped Sandpiper,2400,,,,,,Complete,,,50,,Small,,,,,night,,night,,,,1,1,354.8,long,,,,,,,,
Zonotrichia,albicollis,Passerellidae,White-throated Sparrow,5580,Concurrent,,Concurrent,230,340,Complete,,Yes,,,,Loose,,,,night,night,night,Yes,Yes,Yes,1,1,1429,short,39.02345752,5333.317429,-5728.1741,1186.535123,1026.1184,829.8377974,721.5167702,474.8447767
Aeronautes,saxatalis,Apodidae,White-throated Swift,4250,,,,,,Partial,,,300,,Medium,,,,,day,day,day,,,,12,12,23.6,long,-146.3286376,-957.8857502,-725.3423803,891.7165341,78584.58468,14943.12065,6031.83735,1076.925097
Zenaida,asiatica,Columbidae,White-winged Dove,3190,,Adults first,Adults first,,,Partial,,Yes,,Small,Small,,,,,day,night,day,No,No,No,,,15.3,short,5377.949541,3263.079476,15243.0612,-6443.727233,8266.625662,11902.39578,4488.048564,2505.563885
Melanitta,deglandi,Anatidae,White-winged Scoter,1650,,,,,,Complete,,Yes,,Medium,Medium,Tight,,,,night,,night,,,,5000,5000,672,short,25366.57263,-2223.858468,0,-2.24E-14,11049.6116,5646.883057,41765.01824,53417.06671
Grus,americana,Gruidae,Whooping Crane,2040,,Concurrent,Concurrent,,,Partial,,Sometimes,,Small,Small,Tight,Yes,,,day,,day,Yes,,Yes,,10,11.2,short,19395.53989,16556.74127,,,23145.45284,27687.1131,,
Tringa,semipalmata,Scolopacidae,Willet,2580,Adults first,Adults first,Adults first,180,350,Complete,,Yes,,Small,Small,,,,,night,,night,Yes,,Yes,1,1,315,short,27903.77519,-6847.452128,-1641.574279,-888.4967297,20364.79136,9400.529179,1174.983895,905.1066067
Sphyrapicus,thyroideus,Picidae,Williamson's Sapsucker,4040,,,,,,Partial,,Yes,,Small,Small,,,Yes,,,night,night,,,,360,360,306.6,short,,,288.153441,-1378.491098,,,5683.677479,2306.904806
