"AOU","Genus","Species","BBS_dist","BBS_dist_error","Migration","Mig_distance","Flocks","Male_mass_g","Trend","Relative.Abundance","BBS_species","BBS_Tree_species","Habitat_specialism_score","Diet_specialism_score","Diet.5Cat","GenFLS","Order","SE"
1960,"Ardea","alba",6041.83987797562,3394.53025773355,"Partial","long","Yes",2480,1.52,2.27,"Ardea alba","Casmerodius_albus",50,40,"VertFishScav",5.183495054,"PELECANIFORMES",3394.53025773355
2001,"Bubulcus","ibis",8277.97207426689,1997.82268200803,"Partial","short","Yes",241,-1.04,62.85,"Bubulcus ibis","Bubulcus_ibis",70,60,"Invertebrate",4.960686124,"PELECANIFORMES",1997.82268200803
1900,"Botaurus","lentiginosus",1581.71262886469,979.173253404982,"Partial","short","Yes",371.8,-0.74,0.36,"Botaurus lentiginosus","Botaurus_lentiginosus",70,60,"VertFishScav",3.52468164,"PELECANIFORMES",979.173253404982
1260,"Pelecanus","occidentalis",3941.20395207049,10393.6678071283,"Partial","short","Yes",59.2,3.55,6.38,"Pelecanus occidentalis","Pelecanus_occidentalis",100,80,"VertFishScav",8.562437471,"PELECANIFORMES",10393.6678071283
1250,"Pelecanus","erythrorhynchos",17556.0974719651,13966.8357441895,"Partial","long","Yes",474,3.17,5.3,"Pelecanus erythrorhynchos","Pelecanus_erythrorhynchos",100,100,"VertFishScav",10.24781678,"PELECANIFORMES",13966.8357441895
1230,"Urile","pelagicus",589.539355079658,19823.4757193796,"Partial","short","Yes",213.4,-0.72,1.87,"Urile pelagicus","Phalacrocorax_pelagicus",100,80,"VertFishScav",6.458905043,"SULIFORMES",19823.4757193796
2140,"Porzana","carolina",451.30051468936,1986.1797558232,"Partial","long","Yes",56.5,0.96,0.82,"Porzana carolina","Porzana_carolina",40,40,"PlantSeed",1.265476084,"GRUIFORMES",1986.1797558232
2210,"Fulica","americana",4685.21190275315,2955.91004902095,"Partial","long","Yes",49.5,-0.92,2.93,"Fulica americana","Fulica_americana",50,40,"PlantSeed",1.966725476,"GRUIFORMES",2955.91004902095
2120,"Rallus","limicola",5233.5188750298,2669.9739630593,"Partial","long","No",23.2,0.32,0.02,"Rallus limicola","Rallus_limicola",50,20,"Omnivore",2.141265419,"GRUIFORMES",2669.9739630593
2080,"Rallus","elegans",437.435572773978,5761.18568701728,"Partial","long","Yes",70,-3.82,0.28,"Rallus elegans","Rallus_elegans",50,30,"Omnivore",3.269379405,"GRUIFORMES",5761.18568701728
2060,"Antigone","canadensis",24375.5998872058,2545.66048300688,"Partial","short","Yes",13.1,4.1,0.96,"Antigone canadensis","Grus_canadensis",50,30,"Omnivore",11.45521958,"GRUIFORMES",2545.66048300688
4290,"Archilochus","alexandri",1067.89227634508,1232.53535568472,"Partial","long","No",3.25,0.31,0.2,"Archilochus alexandri","Archilochus_alexandri",50,90,"FruiNect",1.75930292,"CAPRIMULGIFORMES",1232.53535568472
4280,"Archilochus","colubris",2316.12011228766,224.98439233036,"Complete","long","No",3.08,0.94,0.34,"Archilochus colubris","Archilochus_colubris",40,60,"FruiNect",1.736898616,"CAPRIMULGIFORMES",224.98439233036
4340,"Selasphorus","sasin",599.650735127384,3165.60763443413,"Partial","short","No",2.85,-2.89,1.68,"Selasphorus sasin","Selasphorus_sasin",60,90,"FruiNect",1.92737983,"CAPRIMULGIFORMES",3165.60763443413
4330,"Selasphorus","rufus",1638.14368507402,2714.17014201973,"Complete","long","No",3.27,-2.13,1.37,"Selasphorus rufus","Selasphorus_rufus",60,90,"FruiNect",1.952818558,"CAPRIMULGIFORMES",2714.17014201973
4250,"Aeronautes","saxatalis",1149.46941925727,4221.49637616564,"Partial","long","Yes",23.6,-0.75,2.36,"Aeronautes saxatalis","Aeronautes_saxatalis",90,100,"Invertebrate",2.447301252,"CAPRIMULGIFORMES",4221.49637616564
4210,"Chordeiles","acutipennis",924.751099936178,5197.09036359316,"Partial","short","Yes",13,0.15,2.9,"Chordeiles acutipennis","Chordeiles_acutipennis",70,100,"Invertebrate",3.361353004,"CAPRIMULGIFORMES",5197.09036359316
4171,"Antrostomus","vociferus",1944.8729022295,1416.99438499741,"Complete","long","Yes",13.8,-1.75,0.22,"Antrostomus vociferus","Caprimulgus_vociferus",50,100,"Invertebrate",3.696018219,"CAPRIMULGIFORMES",1416.99438499741
4160,"Antrostomus","carolinensis",713.277655415797,520.704539167054,"Partial","short","Yes",16.6,-1.61,1.43,"Antrostomus carolinensis","Caprimulgus_carolinensis",40,90,"Invertebrate",4.055669608,"CAPRIMULGIFORMES",520.704539167054
