"AOU","BBS_Lat_slope","BBS_Lon_slope","BBS_Lon_slope_Error","BBS_Lat_slope_Error"
1530,660.569302761522,2240.58738903073,5105.53893443725,5459.68432800982
1670,1899.66726171801,3708.6909814805,3789.9382924677,4166.17910330012
1720,1122.05997199068,10981.2131727653,9386.32700433481,2601.99252374887
1770,1619.10771379441,6944.1694395137,1574.64819527171,14205.4269111867
1780,394.95318634675,1252.8401208108,2359.87572527712,11553.7001663858
1860,-17754.7628138588,-3801.05795684184,23233.7914470795,6323.29777237873
1900,559.478374830684,1479.45895124091,835.939792277913,1666.35924033215
1960,5474.05070811969,-2557.06823452773,2036.2846352472,3623.86635095176
2000,-4416.88245262686,-4.85650766320371,1244.31365074454,2634.90804439318
2001,1543.53970160203,-8132.79206988109,1935.87040610337,3279.75912268286
2010,-348.513284998401,-873.259399585716,439.374709371799,432.92683146059
2020,-11265.3452177625,-804.537367653127,2995.03984408005,1947.70491779244
2060,4704.86957516619,23917.2337895047,2583.81905601772,1192.57374467269
2080,158.605769442217,407.669094030613,4135.36092692223,11810.6600441167
2120,1941.91000458554,-4859.90795688393,2748.28771614919,2114.50289300224
2140,-398.931731919854,211.010966128082,1112.44584633706,2168.4954697957
2190,-97.1850826145402,-809.249713428197,3528.50012464416,7804.94302879739
2210,3873.28551495755,2636.07091963017,3328.56169997832,2766.34432002502
2250,130.861851713163,1027.96034946415,7274.86791807903,1745.95491037502
2260,-1334.77439241444,6713.15566454406,3299.80136569896,5850.24018366799
2280,486.197917295778,-146.706235444736,2866.73811961448,1291.98056411567
2490,-3958.27767447971,2148.74051415251,1029.8507851525,1592.45837944815
2540,-528.494884580457,971.182000372029,12666.4898677694,14550.7236072642
2550,-1370.77774982128,4526.0539033055,8042.74234662393,12068.2430937479
2560,420.027109150066,-1822.88529472257,8127.5893482761,11483.425507479
2580,-888.496729715406,-1641.57427885955,1299.73169007865,1015.67274885699
2610,2044.38412957657,-4429.22512308174,316.845517013671,508.532102847767
2630,1039.59636843762,-9104.01920618645,1216.47277659327,985.134508963939
2640,4762.7748434402,-5044.13362614393,2685.35490430745,1155.12514599499
2730,-4054.68436154264,4233.60925063342,208.02682376998,149.814121372936
2810,593.774438119183,194.459775106723,3941.69608140207,2109.85705765735
3120,673.811398967576,-1742.70531145478,4754.04226126202,1658.28363722581
3160,126.735097154348,3934.62689059089,156.118068991723,99.7159344557502
3190,-6443.72723326461,15243.0612016176,4551.94472943322,2810.95292828353
3250,5430.89935154838,5836.45182503229,388.495509924596,435.764562179245
3260,2781.29724404552,-2986.55155786471,1220.24266027529,1429.86323146934
3290,-4025.74147584904,8825.72665276459,589.296162893525,1395.80489831893
3310,424.821890594804,-755.989659985286,773.130773666052,685.043816604789
3320,109.07207831679,876.192889419648,1098.66816073732,596.545303833908
3330,-637.390115270493,6971.84821893718,726.088468553036,335.598356163946
3390,3808.36146716968,-659.077697452763,703.922882543673,584.871635687744
3420,-976.344909281717,-2171.50049385868,659.580307300062,400.609922330514
3430,450.521932722812,430.819178174977,798.746948412785,389.250882436003
3480,2510.54755142619,-1287.1878916958,1517.76481823546,912.055032338278
3490,526.635047490732,593.42199209372,1471.47275627608,402.28950420822
3520,1101.02520578869,2330.5222471033,1918.85891744186,1234.44585688664
3550,637.946705783822,-876.070980426034,2187.39810045547,528.685917534991
3560,834.834596600371,167.943031874105,6965.41819837428,2234.91802131755
3570,-858.088278295606,2400.01877745784,1655.4755442899,2686.00164695304
3600,-2331.53885736206,-2759.92589885685,404.105581831856,205.180368986935
3640,578.16160107256,11449.4052672372,1856.87814787043,706.122161520156
3670,-1269.25956890601,321.507521743125,6451.81259145277,4862.98201749151
3870,-125.550735619869,584.202288432423,332.903961269972,301.163064827419
3880,1429.20912452618,2374.34927932604,1548.92529517525,1351.07640904486
3900,1058.47411574606,-316.939891729059,522.515506347074,231.32728280751
4020,-1294.7368188509,436.30618832598,1474.01665780223,760.128416217335
4021,-4361.56062697578,4007.89030149266,2736.8484300294,1956.53416056088
4030,2637.82752453513,144.738732927829,4013.34678491461,1278.14722341691
4040,-1378.49109780671,288.15344102437,5953.72427846603,2403.77459579312
4060,-4349.83513933772,1815.29305960478,321.846238671319,283.145429418156
4080,-244.255637570947,737.475887270669,6870.85322711629,2754.3603964359
4160,651.091620159527,-291.281162922525,612.582259354036,500.293471036952
4171,-1005.4890863733,-1664.78896650921,1628.84517097834,488.859252130232
4200,5817.82222852904,-5790.39877067965,521.335122165807,594.804637568728
4210,539.392930076057,-751.145700791223,5355.74433946534,4874.72358982481
4220,-687.020114063177,-261.324579061517,26833.3446781122,17769.9342912987
4230,1025.40042287333,2411.64692050403,442.105614643652,141.019255540619
4240,644.148049083585,-534.118639610883,5526.52141005165,2577.37227359304
4250,891.716534110504,-725.342380260237,6543.82184317494,1131.03698311608
4280,2283.17311598186,389.272265902801,505.967614614681,211.299892655111
4290,891.401985226862,588.044568558452,1335.51821596785,1184.92706494373
4330,894.656630248251,1372.26245554585,3064.95526216942,1611.61632542751
4340,585.107724872294,-131.262921015724,12147.8312672728,1760.24843479289
4360,-2248.79913567196,-404.90876342628,5410.73308350661,3398.17556977883
4430,740.403830081118,-236.632792889017,128.264157329698,523.807643505526
4440,1261.26803294007,-3795.13143106574,189.761917990654,130.495522184045
4470,42.6361789543031,-1400.52831069701,483.262714974121,213.729291682009
4480,582.476113009557,2486.22289945111,3773.63510092607,2244.70798889356
4520,-1610.70761140615,1793.61238819358,319.695912879828,152.994850847441
4540,-944.088855980196,2714.46592528719,1450.70927782683,692.267390381897
4560,-4089.26733777092,-4865.23813448757,523.328588863016,150.999732222631
4570,1855.26575535887,-1529.89694608512,1052.53865225965,308.266416766306
4590,-312.550350064995,-2474.64333078971,1475.95832898744,576.462571674841
4610,1144.5995708683,-660.921524275586,333.732700890386,103.393421836292
4620,6629.40816467958,8.62586236365726,3661.48190119576,1417.00543122139
4630,1160.64309267582,1601.37250068081,3416.51213832017,2518.72272546462
4670,2354.96170212743,-10442.631610313,519.516888288501,452.614293064285
4940,325.624307867179,-9869.44798129955,653.813926004642,542.173000187802
4970,1317.34716590816,-768.165369280489,1117.68347125542,1293.47083817598
4980,2413.33697476278,-4071.73973586949,169.499235759336,128.4632259042
5010,2014.92238052253,-4751.96122262399,197.43854398236,212.262420570961
5011,-224.325273784097,-4468.28820121777,342.361397350219,256.045796970866
5040,-714.958337423194,1473.92696849752,2494.46912383356,1453.06832600468
5060,4438.08074089273,-217.160344163245,337.23344945136,339.332528721068
5070,-1014.83760967688,-4215.23346107271,519.087767921893,178.201213063959
5080,2097.62410108363,681.807137528409,851.798239850587,343.049771039346
5090,-892.515489957728,-250.658802380889,9586.8938676081,5972.09488738938
5110,2697.43102972574,-4292.16196151617,332.793390418185,116.148795936293
5330,-1089.39873422604,2271.21747431124,3949.39757961582,3314.22176235217
5380,368.005244751198,-1731.50397641749,1636.54182074126,2102.72288645531
5390,-3876.78190383092,100.793143859565,9092.34641572895,8677.1580811728
5400,2612.10845953498,-6216.60992023502,492.958152348416,382.535153937803
5450,491.185866102518,-4235.97303718951,2574.67876267111,3843.05285575543
5460,-337.73350479231,-7308.57396244625,452.776511272492,365.625980440088
5480,-802.423108065379,2906.33658807078,1411.5754011125,6007.12100610875
