"AOU","Genus","Species","CBC_dist","CBC_dist_error","Migration","Mig_distance","WithAdults","Flocks","FlocksWithAdults","Male_mass_g","Trend","Relative.Abundance","CBC_species","CBC_Tree_species","Habitat_specialism_score","Diet_specialism_score","Diet.5Cat","GenFLS","Order","SE"
3320,"Accipiter","striatus",4480.0044423307,248.690100970305,"Partial","short","No","Yes","FlocksNoAdults",103,0.35,0.02,"Accipiter striatus","Accipiter_striatus",25,100,"VertFishScav",3.61611425,"ACCIPITRIFORMES",248.690100970305
3420,"Buteo","swainsoni",14090.3574653804,10992.1923796825,"Complete","long","Yes","Yes","FlocksWithAdults",808,1.08,0.98,"Buteo swainsoni","Buteo_swainsoni",20,60,"VertFishScav",7.660278887,"ACCIPITRIFORMES",10992.1923796825
3480,"Buteo","regalis",4102.67497353595,2777.20921115314,"Partial","short","No","No","Solo",1163,0.9,0.23,"Buteo regalis","Buteo_regalis",100,100,"VertFishScav",6.860257537,"ACCIPITRIFORMES",2777.20921115314
3430,"Buteo","platypterus",10497.5603679625,9827.90557146522,"Complete","long","Yes","Yes","FlocksWithAdults",357,0.64,0.11,"Buteo platypterus","Buteo_platypterus",100,70,"VertFishScav",5.770490449,"ACCIPITRIFORMES",9827.90557146522
3520,"Haliaeetus","leucocephalus",7184.62176538008,931.207317764589,"Partial","short","Yes","Yes","FlocksWithAdults",4230,3.97,0.05,"Haliaeetus leucocephalus","Haliaeetus_leucocephalus",40,30,"VertFishScav",13.34288315,"ACCIPITRIFORMES",931.207317764589
3490,"Aquila","chrysaetos",3519.65219122209,56951.3076003962,"Partial","short","Yes","Yes","FlocksWithAdults",3477,0.19,0.17,"Aquila chrysaetos","Aquila_chrysaetos",100,80,"VertFishScav",13.85005108,"ACCIPITRIFORMES",56951.3076003962
3640,"Pandion","haliaetus",4675.48335722486,2315.64118797251,"Partial","long","No","No","Solo",409,1.96,0.12,"Pandion haliaetus","Pandion_haliaetus",60,100,"VertFishScav",7.954559923,"ACCIPITRIFORMES",2315.64118797251
3190,"Zenaida","asiatica",6334.6211939141,9709.61299196747,"Partial","short","No","Yes","FlocksNoAdults",15.3,0.46,13.91,"Zenaida asiatica","Zenaida_asiatica",60,60,"PlantSeed",2.980386011,"COLUMBIFORMES",9709.61299196747
1860,"Plegadis","falcinellus",2700.19924687462,8823.49201145352,"Partial","short","No","Yes","FlocksNoAdults",650,4.43,1.87,"Plegadis falcinellus","Plegadis_falcinellus",50,80,"Invertebrate",4.606829092,"PELECANIFORMES",8823.49201145352
2210,"Fulica","americana",8686.07624098597,4802887.22743777,"Partial","long","Yes","Yes","FlocksWithAdults",49.5,-0.92,2.93,"Fulica americana","Fulica_americana",50,40,"PlantSeed",1.966725476,"GRUIFORMES",4802887.22743777
2120,"Rallus","limicola",4363.37655505937,3043.59972462253,"Partial","long","No","No","Solo",23.2,0.32,0.02,"Rallus limicola","Rallus_limicola",50,20,"Omnivore",2.141265419,"GRUIFORMES",3043.59972462253
2060,"Antigone","canadensis",4580.26745479652,80740.8325103433,"Partial","short","Yes","Yes","FlocksWithAdults",13.1,4.1,0.96,"Antigone canadensis","Grus_canadensis",50,30,"Omnivore",11.45521958,"GRUIFORMES",80740.8325103433
4290,"Archilochus","alexandri",7349.74982849405,3510.8044008063,"Partial","long","No","No","Solo",3.25,0.31,0.2,"Archilochus alexandri","Archilochus_alexandri",50,90,"FruiNect",1.75930292,"CAPRIMULGIFORMES",3510.8044008063
4280,"Archilochus","colubris",9334.30123842247,6193.81797751097,"Complete","long","No","No","Solo",3.08,0.94,0.34,"Archilochus colubris","Archilochus_colubris",40,60,"FruiNect",1.736898616,"CAPRIMULGIFORMES",6193.81797751097
4340,"Selasphorus","sasin",15736.0516925406,31626.8361632923,"Partial","short","No","No","Solo",2.85,-2.89,1.68,"Selasphorus sasin","Selasphorus_sasin",60,90,"FruiNect",1.92737983,"CAPRIMULGIFORMES",31626.8361632923
4330,"Selasphorus","rufus",11769.3724176958,5469.11290487589,"Complete","long","No","No","Solo",3.27,-2.13,1.37,"Selasphorus rufus","Selasphorus_rufus",60,90,"FruiNect",1.952818558,"CAPRIMULGIFORMES",5469.11290487589
