"AOU","CBC_Lat_slope","CBC_Lon_slope","CBC_Lon_slope_Error","CBC_Lat_slope_Error"
3640,533.586777316973,-4644.93592794983,2315.87817959794,2297.6110678979
3670,-5490.28534063791,7290.2253547406,4200.11957834695,3121.76054039489
3900,2521.44303872236,-1206.42807952403,383.103144579626,323.541517534592
4160,927.419377168043,-6341.54862887321,5229.8896056542,6992.47869288516
4171,-653.819720261173,3422.50056038467,6711.22461353125,5811.59404588992
4210,-1222.76454947245,19804.1558454846,15302.0262921301,58622.3009274941
4250,-957.885750239759,-146.328637631394,79369.7358811196,15227.9183003515
4280,9246.30684208967,-1278.66703701197,6040.26309529525,6196.71747838899
4290,452.891759549608,7335.78295722961,3467.17687820332,9601.96488118341
4330,5855.39100675554,10209.4330530361,3913.67100441725,8618.58003275938
4340,5487.14360859189,-14748.3754321959,32936.7332651614,19730.3320084834
4430,4375.27949098344,-29302.8541254904,6037.68325107717,11353.3312968606
4470,4893.13754989808,-4881.39081914119,11150.015219158,11290.2316819831
4480,-41.7561397740668,60.8585698632787,14171.199824931,924.59541427028
4540,-1768.05804332157,3565.68605038472,8074.53143817183,4544.89578392337
5011,88.2606692335901,2706.40935249136,4358.00572041748,1570.99834466074
5390,9413.52603039475,-0.291933928506498,3955308.32955766,2314716.15331851
5400,-6185.41744211425,4008.04699396197,7320245.15874678,6146929.52092824
5450,5792.06138275382,-8997.38543793014,19122.4086564339,17132.2857112052
5480,2714.17039315265,-734.564746342226,993.623738842631,4452.07053844203
5520,1447.46148006018,-4486.58235833428,4845.71301883458,3652.62931687296
5540,1955.20938905703,3294.07717193822,3216.87667644101,1212.08478492901
5620,1063.62011166073,-270.083597906363,31649.6036603746,17786.9013015228
5650,519.450117492098,-942.550859210026,10302.3107730868,7154.86461218644
5730,658.649232887874,-24.0040515803241,5664.48875417869,4704.23383218939
5870,2099.98684486904,-455.036980313421,1317.1156882842,876.617749451412
5900,1175.46037366775,-1432.06392332743,5953.68667055467,4659.6717794382
5950,-2439.14153069931,7674.91102901621,14403.7283446543,4296.95768403445
5960,8611.02339775668,-14891.5527460897,6332.14244836313,8281.55044796727
5970,1126.07687475444,-3822.5009283053,24356.3725567956,19273.6427933163
6040,-14029.9439674349,-15123.2570174266,19196.0388939613,27248.425710406
6050,2904.1251423817,-3230.31519089222,12079356394.4668,11852326727.6354
6070,-196.543320141238,349.892611470646,11159.8723896362,1284.49257609053
6170,10349.8465029584,-214.578515278673,102243.317608345,51439.2199197922
6200,497.696696606445,-27.1461107373891,8688.10473590438,3087.71508697423
6220,-1061.7350094224,-1995.00244081893,647.126146221603,974.625985995737
6280,-17.5277647086697,1328.88558225858,9574.42528626791,9563.32710796127
6450,4436.29210263257,-5299.78500847533,4184.34689106132,5793.22731495887
6460,1213.76723077941,-2219.31875208094,694.056752655767,2014.44919224849
6470,7006.10045866305,-9781.22702674412,12200.2945458034,5277.43982426469
6480,-7.42924684167335,-2756.94166044714,6924.27438786505,6209.02777461341
6680,-917.284461856364,-16.5395973321648,17661.8328600634,3741.68132348481
6690,364.545511672639,-81.7820491359372,15484.1346266157,1142.42467671784
6710,-1540.76029463615,985.102499222287,2189.22498286066,2908.99657739612
6720,831.918810521619,-1443.06173672622,3614.32008681792,3224.48037163416
6730,-1062.67451738889,-20.1312856967435,4702.55847826697,3921.18105435821
6750,1897.08610279115,1583.45585212155,29322.4290394697,26668.1648792558
6810,3091.09180717539,-10947.4543776579,1580.93561423879,1785.84837619367
6830,9196.51985555123,5955.92944604606,6475.58832568108,3925.41612036777
6850,1314.96915425925,-2537.02301621408,2376.53269053472,4569.06958349582
